title,url,year,rating,genres,streams
"Alexander and the Terrible, Horrible, No Good, Very Bad Road Trip",https://uflix.cc/movie/alexander-and-the-terrible-horrible-no-good-very-bad-road-trip-2025,,,,"/movie/alexander-and-the-terrible-horrible-no-good-very-bad-road-trip-2025?api=stream1, /movie/alexander-and-the-terrible-horrible-no-good-very-bad-road-trip-2025?api=stream2, /movie/alexander-and-the-terrible-horrible-no-good-very-bad-road-trip-2025?api=stream3, /movie/alexander-and-the-terrible-horrible-no-good-very-bad-road-trip-2025?api=stream4, /movie/alexander-and-the-terrible-horrible-no-good-very-bad-road-trip-2025?api=stream5"
"Oh, Canada",https://uflix.cc/movie/oh-canada-2024,,,,"/movie/oh-canada-2024?api=stream1, /movie/oh-canada-2024?api=stream2, /movie/oh-canada-2024?api=stream3, /movie/oh-canada-2024?api=stream4, /movie/oh-canada-2024?api=stream5"
My Fault: London,https://uflix.cc/movie/my-fault-london-2025,,,,"/movie/my-fault-london-2025?api=stream1, /movie/my-fault-london-2025?api=stream2, /movie/my-fault-london-2025?api=stream3, /movie/my-fault-london-2025?api=stream4, /movie/my-fault-london-2025?api=stream5"
Unwrapping Christmas: Lily's Destiny,https://uflix.cc/movie/unwrapping-christmas-lilys-destiny-2024,,,,"/movie/unwrapping-christmas-lilys-destiny-2024?api=stream1, /movie/unwrapping-christmas-lilys-destiny-2024?api=stream2, /movie/unwrapping-christmas-lilys-destiny-2024?api=stream3, /movie/unwrapping-christmas-lilys-destiny-2024?api=stream4, /movie/unwrapping-christmas-lilys-destiny-2024?api=stream5"
Puri for Rent,https://uflix.cc/movie/puri-for-rent-2025,,,,"/movie/puri-for-rent-2025?api=stream1, /movie/puri-for-rent-2025?api=stream2, /movie/puri-for-rent-2025?api=stream3, /movie/puri-for-rent-2025?api=stream4, /movie/puri-for-rent-2025?api=stream5"
Pihit,https://uflix.cc/movie/pihit-2025,,,,"/movie/pihit-2025?api=stream1, /movie/pihit-2025?api=stream2, /movie/pihit-2025?api=stream3, /movie/pihit-2025?api=stream4, /movie/pihit-2025?api=stream5"
The Gorge,https://uflix.cc/movie/the-gorge-2025,,,,"/movie/the-gorge-2025?api=stream1, /movie/the-gorge-2025?api=stream2, /movie/the-gorge-2025?api=stream3, /movie/the-gorge-2025?api=stream4, /movie/the-gorge-2025?api=stream5"
Larger than Life: Reign of the Boybands,https://uflix.cc/movie/larger-than-life-reign-of-the-boybands-2024,,,,"/movie/larger-than-life-reign-of-the-boybands-2024?api=stream1, /movie/larger-than-life-reign-of-the-boybands-2024?api=stream2, /movie/larger-than-life-reign-of-the-boybands-2024?api=stream3, /movie/larger-than-life-reign-of-the-boybands-2024?api=stream4, /movie/larger-than-life-reign-of-the-boybands-2024?api=stream5"
Mama's Boy,https://uflix.cc/movie/mamas-boy-2024,,,,"/movie/mamas-boy-2024?api=stream1, /movie/mamas-boy-2024?api=stream2, /movie/mamas-boy-2024?api=stream3, /movie/mamas-boy-2024?api=stream4, /movie/mamas-boy-2024?api=stream5"
Gunslingers,https://uflix.cc/movie/gunslingers-2025,,,,"/movie/gunslingers-2025?api=stream1, /movie/gunslingers-2025?api=stream2, /movie/gunslingers-2025?api=stream3, /movie/gunslingers-2025?api=stream4, /movie/gunslingers-2025?api=stream5"
Night of the Dead Sorority Babes,https://uflix.cc/movie/night-of-the-dead-sorority-babes-2025,,,,"/movie/night-of-the-dead-sorority-babes-2025?api=stream1, /movie/night-of-the-dead-sorority-babes-2025?api=stream2, /movie/night-of-the-dead-sorority-babes-2025?api=stream3, /movie/night-of-the-dead-sorority-babes-2025?api=stream4, /movie/night-of-the-dead-sorority-babes-2025?api=stream5"
Back in Action,https://uflix.cc/movie/back-in-action-2025,,,,"/movie/back-in-action-2025?api=stream1, /movie/back-in-action-2025?api=stream2, /movie/back-in-action-2025?api=stream3, /movie/back-in-action-2025?api=stream4, /movie/back-in-action-2025?api=stream5"
Love In The Clouds,https://uflix.cc/movie/love-in-the-clouds-2025,,,,"/movie/love-in-the-clouds-2025?api=stream1, /movie/love-in-the-clouds-2025?api=stream2, /movie/love-in-the-clouds-2025?api=stream3, /movie/love-in-the-clouds-2025?api=stream4, /movie/love-in-the-clouds-2025?api=stream5"
"Hemet, or the Landlady Don't Drink Tea",https://uflix.cc/movie/hemet-or-the-landlady-dont-drink-tea-2024,,,,"/movie/hemet-or-the-landlady-dont-drink-tea-2024?api=stream1, /movie/hemet-or-the-landlady-dont-drink-tea-2024?api=stream2, /movie/hemet-or-the-landlady-dont-drink-tea-2024?api=stream3, /movie/hemet-or-the-landlady-dont-drink-tea-2024?api=stream4, /movie/hemet-or-the-landlady-dont-drink-tea-2024?api=stream5"
HIT: The Third Case,https://uflix.cc/movie/hit-the-third-case-2025,,,,"/movie/hit-the-third-case-2025?api=stream1, /movie/hit-the-third-case-2025?api=stream2, /movie/hit-the-third-case-2025?api=stream3, /movie/hit-the-third-case-2025?api=stream4, /movie/hit-the-third-case-2025?api=stream5"
Gladiator II,https://uflix.cc/movie/gladiator-ii-2024,,,,"/movie/gladiator-ii-2024?api=stream1, /movie/gladiator-ii-2024?api=stream2, /movie/gladiator-ii-2024?api=stream3, /movie/gladiator-ii-2024?api=stream4, /movie/gladiator-ii-2024?api=stream5"
Chhorii 2,https://uflix.cc/movie/chhorii-2-2025,,,,"/movie/chhorii-2-2025?api=stream1, /movie/chhorii-2-2025?api=stream2, /movie/chhorii-2-2025?api=stream3, /movie/chhorii-2-2025?api=stream4, /movie/chhorii-2-2025?api=stream5"
Agnyathavasi,https://uflix.cc/movie/agnyathavasi-2025,,,,"/movie/agnyathavasi-2025?api=stream1, /movie/agnyathavasi-2025?api=stream2, /movie/agnyathavasi-2025?api=stream3, /movie/agnyathavasi-2025?api=stream4, /movie/agnyathavasi-2025?api=stream5"
Naples to New York,https://uflix.cc/movie/naples-to-new-york-2024,,,,"/movie/naples-to-new-york-2024?api=stream1, /movie/naples-to-new-york-2024?api=stream2, /movie/naples-to-new-york-2024?api=stream3, /movie/naples-to-new-york-2024?api=stream4, /movie/naples-to-new-york-2024?api=stream5"
Rippy,https://uflix.cc/movie/rippy-2024,,,,"/movie/rippy-2024?api=stream1, /movie/rippy-2024?api=stream2, /movie/rippy-2024?api=stream3, /movie/rippy-2024?api=stream4, /movie/rippy-2024?api=stream5"
Anora,https://uflix.cc/movie/anora-2024,,,,"/movie/anora-2024?api=stream1, /movie/anora-2024?api=stream2, /movie/anora-2024?api=stream3, /movie/anora-2024?api=stream4, /movie/anora-2024?api=stream5"
Marked Men: Rule + Shaw,https://uflix.cc/movie/marked-men-rule-shaw-2025,,,,"/movie/marked-men-rule-shaw-2025?api=stream1, /movie/marked-men-rule-shaw-2025?api=stream2, /movie/marked-men-rule-shaw-2025?api=stream3, /movie/marked-men-rule-shaw-2025?api=stream4, /movie/marked-men-rule-shaw-2025?api=stream5"
Way Home,https://uflix.cc/movie/way-home-2024,,,,"/movie/way-home-2024?api=stream1, /movie/way-home-2024?api=stream2, /movie/way-home-2024?api=stream3, /movie/way-home-2024?api=stream4, /movie/way-home-2024?api=stream5"
Alien Invasion: Rise of the Phoenix,https://uflix.cc/movie/alien-invasion-rise-of-the-phoenix-2025,,,,"/movie/alien-invasion-rise-of-the-phoenix-2025?api=stream1, /movie/alien-invasion-rise-of-the-phoenix-2025?api=stream2, /movie/alien-invasion-rise-of-the-phoenix-2025?api=stream3, /movie/alien-invasion-rise-of-the-phoenix-2025?api=stream4, /movie/alien-invasion-rise-of-the-phoenix-2025?api=stream5"
The Finnish Line,https://uflix.cc/movie/the-finnish-line-2024,,,,"/movie/the-finnish-line-2024?api=stream1, /movie/the-finnish-line-2024?api=stream2, /movie/the-finnish-line-2024?api=stream3, /movie/the-finnish-line-2024?api=stream4, /movie/the-finnish-line-2024?api=stream5"
Mad Square,https://uflix.cc/movie/mad-square-2025,,,,"/movie/mad-square-2025?api=stream1, /movie/mad-square-2025?api=stream2, /movie/mad-square-2025?api=stream3, /movie/mad-square-2025?api=stream4, /movie/mad-square-2025?api=stream5"
Black Diamond,https://uflix.cc/movie/black-diamond-2025,,,,"/movie/black-diamond-2025?api=stream1, /movie/black-diamond-2025?api=stream2, /movie/black-diamond-2025?api=stream3, /movie/black-diamond-2025?api=stream4, /movie/black-diamond-2025?api=stream5"
My Freaky Family,https://uflix.cc/movie/my-freaky-family-2024,,,,"/movie/my-freaky-family-2024?api=stream1, /movie/my-freaky-family-2024?api=stream2, /movie/my-freaky-family-2024?api=stream3, /movie/my-freaky-family-2024?api=stream4, /movie/my-freaky-family-2024?api=stream5"
